,merged,mz,mz max,mz min,mz std,rt,rt end,rt max,rt min,rt start,rt std
FT-1196,,144.04472267883784,144.04680542983576,144.04195672302092,0.0008715037018517,67.56550435615664,76.02584322003395,71.40938703485011,62.48314932910797,59.92329987731716,1.3843433638246914
FT-1254,,267.9425657461571,267.9467236928093,267.93845276713404,0.0014165045883562,64.36916892518094,75.91051145801148,71.87050785864581,51.327622707670216,52.97842103196213,3.887729434775755
FT-1283,,314.9772429342827,314.9814251098777,314.9725531620696,0.0013658648138169,64.3113460463589,72.13948886502635,72.13670462862306,55.00414724666973,53.25481040911182,2.520952670365036
FT-1284,,211.9276650663857,211.935084637842,211.9188396044053,0.0026341743742768,63.37975383302305,71.17242163922386,71.43294185649415,51.7304825047867,53.91248791332723,3.790693103512946
FT-1287,,159.85943314892876,159.861565728118,159.8571864665586,0.0009001766989784,62.42988679102265,83.62542637716598,70.52961143824733,52.05969738893433,47.19078189953801,3.71669794741456
FT-1296,,372.9355991345959,372.9420395596627,372.92942242393616,0.0019505526911962,62.74550274373162,74.52028259702199,70.6345295228487,55.26087026400023,51.13486643560113,2.5069657338948117
FT-1298,,374.9339224854504,374.9406355651789,374.9274029416887,0.002156218376878,62.57978749645141,71.5886217791828,70.28876132827104,56.35232459013182,52.93353660804439,2.301601588024817
FT-1303,,181.9908424665136,181.99585153096984,181.986025074098,0.0010257089245839,60.13665707739975,72.46725851900005,62.66661934507977,56.577441959334536,53.55943789307663,1.240694043503661
FT-1308,,201.07587662904768,201.08047385551552,201.07175045153815,0.0010730855160605,62.85840542109303,75.941619131296,70.22279593689545,56.52235373743938,54.439442561727,2.408424046847527
FT-1314,,210.9272187141346,210.93531426157895,210.9044756010493,0.0019558819502878,64.25829742067206,73.44285102451286,71.37057207114327,57.585439772222266,51.375321255012985,1.9974053584366325
FT-1320,,244.9680045527077,244.97911612595,244.95895279213008,0.0033696258472632,60.21929178792971,66.180740859775,71.97091742350632,51.898419131467264,54.97470375564722,4.06231607427769
FT-1322,,282.9249518261838,282.94898993752975,282.91663278022446,0.0079486280623285,63.49914739613183,69.99392289381478,68.45977020080312,54.42169354651483,56.93519540087112,1.6130344135282402
