,Charge,Chromatographic peak width (min),Highest Mean,Identifications,Isotope Distribution,Lowest Mean,Max Fold Change,Maximum Abundance,Minimum CV%,Neutral mass (Da),mz,rt
0.05_1017.7548n,1,0.518833333333333,calibration,0,100 - 50 - 40 - 21.7 - 5.93,2,inf,6855.96888750745,41.81,1017.75484732583,1016.74278816075,2.718
0.05_1020.7013m/z,1,0.501916666666667,sss,0,100 - 27.2,zero,inf,661.987632145488,43.0,,1020.70125030795,2.718
0.05_1027.6675m/z,1,0.45665,calibration,0,100 - 69.7,zero,inf,576.412350270282,46.06,,1027.66748323967,2.718
0.05_1029.6627m/z,1,0.501916666666667,calibration,0,100 - 62.7 - 52.3 - 43.7 - 25.6,zero,inf,2427.75709711394,42.52,,1029.66272104571,2.718
0.05_1049.7345n,1,0.501916666666667,calibration,0,100 - 45.9,zero,inf,2292.02458386961,42.96,1049.73449851508,1048.72722208308,2.718
0.05_1061.6533m/z,1,0.518833333333333,calibration,0,100 - 58.7 - 61.3 - 39.1 - 20.1 - 8.21,2,inf,2821.65808746114,42.31,,1061.65333349462,2.718
0.05_1087.7010n,1,0.501916666666667,calibration,0,100 - 63.9 - 72.9 - 59.2 - 51 - 62.3 - 44.4 - 26.3 - 12.6 - 2.2,2,inf,7205.01219409607,41.73,1087.70097466259,1072.67807466259,2.718
0.05_1103.6948n,1,0.518833333333333,calibration,0,100 - 71.5 - 69.9 - 36 - 24.5 - 17.1 - 6.44,2,inf,6948.64851674033,42.01,1103.69481851157,1088.67191851157,2.718
0.05_1104.6653m/z,1,0.518833333333333,calibration,0,100 - 57.7 - 83.4 - 46.9 - 27.9 - 13.9 - 2.82,zero,inf,3473.63615701275,42.98,,1104.66527803319,2.718
0.05_1117.6757m/z,1,0.518833333333333,calibration,0,98.5 - 100 - 73.3,2,inf,2342.18217604997,43.06,,1117.67567601721,2.718
0.05_1120.6643m/z,1,0.518833333333333,calibration,0,100 - 54 - 34.8 - 15.3 - 4.38,2,inf,2702.21792289471,42.31,,1120.66429821355,2.718
0.05_1146.7137n,1,0.518833333333333,calibration,0,100 - 50.2 - 56.7 - 34.4 - 25.3 - 22.6 - 9.97,2,inf,6038.93061740134,42.54,1146.71371992991,1131.69081992991,2.718
0.05_1147.6828m/z,1,0.518833333333333,calibration,0,100 - 48.4 - 58.7 - 20.7 - 10.5,2,inf,2777.88353307851,41.71,,1147.68275627925,2.718
0.05_1163.6769m/z,1,0.501916666666667,calibration,0,100 - 44 - 29.1,zero,inf,1654.76633943014,42.77,,1163.67688515079,2.718
0.05_1176.6022m/z,1,0.45665,calibration,0,100 - 92.2 - 96.7 - 63.7,zero,inf,1480.50101849136,43.21,,1176.60220919895,2.718
0.05_1189.6083m/z,1,0.485016666666667,calibration,0,91.5 - 89.5 - 100,zero,inf,1807.76901280908,41.83,,1189.60829884968,2.718
0.05_1192.6012m/z,1,0.518833333333333,calibration,0,100 - 63.5 - 41.6 - 15.6,zero,inf,1798.66856177238,42.45,,1192.60123428862,2.718
0.05_190.9640n,1,0.586483333333333,16,0,100 - 13.5 - 2.19,ltrs,5.42167420929603,34136.3151502813,2.88,190.963955727988,249.977255727988,2.718
0.05_233.9820n,1,0.552666666666667,16,0,100 - 10.4 - 0.416,zero,31.1033319197607,233433.037364004,3.72,233.982022939485,232.974746507485,2.718
0.05_250.0308m/z,1,0.485016666666667,postcirugia,0,100 - 9.6,zero,inf,178.699150678724,398.79,,250.030793866243,2.718
0.05_292.0510m/z,1,0.485016666666667,postcirugia,0,100 - 11.7,process blank,inf,218.847341901411,434.79,,292.051006782326,2.718
0.05_320.8990m/z,1,0.485016666666667,sss,0,100 - 40.4 - 19.4 - 3.16,1,5.71018306374181,1363.50574665897,15.98,,320.899029096477,2.718
0.05_336.8942m/z,1,0.501916666666667,sss,0,100 - 18 - 6.69,zero,117.523256942986,4546.17768600004,8.97,,336.894181926586,2.718
0.05_349.9016n,1,0.518833333333333,sss,0,100 - 27.4 - 14.6 - 0.257 - 0.309,zero,465.778456362234,21393.8940525466,11.81,349.901612601714,384.863869013853,2.718
