feature,merged,mz,mz max,mz min,mz std,rt,rt end,rt max,rt min,rt start,rt std
FT-0000,,382.88463916563813,382.8920742345432,382.8779639748628,0.0022841011042669525,25.8500790664715,31.975372488327334,33.27831762321373,5.1129890171272745,18.912668550420356,4.467616085282912
FT-0001,,380.90383912103914,380.93218130860816,380.88114555794436,0.012756098596081887,22.875884020978656,28.512983401178122,33.755958112682265,7.333678620983989,17.4073259149674,7.67080074228146
FT-0002,,233.94948330980208,233.97797014302662,233.93677527649913,0.007369288732296961,18.95720245026748,23.77613895716695,28.878488104952744,5.816214312619479,14.076154997007274,6.31864694663757
FT-0003,,235.95723077596665,235.97285278246733,235.94695322810406,0.0046831179738511365,22.19728340067163,29.636204472991707,28.8472549459117,6.3358628301979945,14.03073853686409,4.214669615277871
FT-0004,,210.91937224975422,210.9406690761728,210.8844924409178,0.012879216415628905,26.860184854885357,31.843221462690135,33.64068465833496,7.148304228185884,21.094484130327423,5.781491549694696
FT-0005,,186.85449488499535,186.86126282211137,186.84561735087004,0.0020367903862827676,29.9272051442275,34.077018542997074,32.69597226321337,24.068518349977772,24.71550624636732,0.8599276571604895
FT-0006,,194.91400158827366,194.91973886307474,194.9080004013005,0.001748806871360921,28.597657995271142,33.05599963519865,33.48541138128919,20.476368466341146,23.403640341292316,2.3449025904747236
FT-0008,FT-0111,276.8323731426589,276.83765416950774,276.82676495733597,0.0014361313835253339,32.67349510902188,37.67976832005516,33.75860273387354,26.327352432577804,25.778121352189675,1.5359615572412573
FT-0009,,339.8701332652549,339.8793165688959,339.86046459094365,0.002449679616782218,29.446206107307095,33.43736319810828,33.720329277189656,23.869915611080874,24.643214119163495,1.6721411074701018
FT-0010,,164.94058909536292,164.9480917023575,164.93477158296932,0.0018029741347307727,30.318076686790295,33.64223098417981,33.67646353154785,27.191065838507534,26.80493876339349,1.0923059127580395
FT-0011,,374.9871426252295,374.9977271186108,374.9783889460121,0.0028175255478458997,30.25183322536002,33.98601306295592,32.70559159208325,27.35766257607306,26.462119840896698,0.7347009829536011
FT-0012,,358.83915240039425,358.85035699960974,358.82939192824216,0.003032434133472714,32.22013706091356,37.214527444839995,33.73560505416039,28.326072699389705,27.17312270880512,0.9188576645800495
FT-0013,FT-0414,136.87095935790185,136.90029629827043,136.8488362353571,0.01132829529180604,32.09826421016855,36.20980871265763,33.74291872097423,28.544755114733885,27.977136294954818,1.2063045569600546
FT-0014,,244.90081605452593,244.91814726669037,244.8834567200889,0.008699765184404382,31.410004491071533,34.888811172273975,33.75672445382553,27.561564483323636,27.771954274912957,1.6339210667680433
FT-0015,,152.93547216954855,152.94085018333104,152.92062173579933,0.003789670913611809,32.167380219974056,37.641695032841504,33.72512433540333,30.08795463832232,27.727688147177417,0.6100261085757145
FT-0016,,154.93538203891364,154.94752834676976,154.91665614217175,0.005389189809421223,31.989931674097893,36.37400241089795,33.523260766424414,29.39964700229475,27.572498441483965,0.572629360590635
FT-0017,,177.8445369029074,177.8477301265598,177.84030355112841,0.0011138616240556193,32.03712976311843,36.04455993971307,33.75582444257573,30.595440656323117,28.00891323486493,0.812929286421306
