sample_,class,dilution,order,batch,id
20210420_003,solvent,1.0,70,3,20210420_003
20210420_005,process blank,1.0,71,3,20210420_005
20210420_019,QC,1.0,78,3,20210420_019
20210420_021,QC,1.0,79,3,20210420_021
20210420_023,QC,1.0,80,3,20210420_023
20210420_025,healthy,1.0,81,3,20210420_025
20210420_027,healthy,1.0,82,3,20210420_027
20210420_029,cancer,1.0,83,3,20210420_029
20210420_031,cancer,1.0,84,3,20210420_031
20210420_033,post-surgery,1.0,85,3,20210420_033
20210420_035,QC,1.0,86,3,20210420_035
20210420_037,healthy,1.0,87,3,20210420_037
20210420_039,benign,1.0,88,3,20210420_039
20210420_041,healthy,1.0,89,3,20210420_041
20210420_043,healthy,1.0,90,3,20210420_043
20210420_045,benign,1.0,91,3,20210420_045
20210420_047,QC,1.0,92,3,20210420_047
20210420_049,cancer,1.0,93,3,20210420_049
20210420_051,post-surgery,1.0,94,3,20210420_051
20210420_053,benign,1.0,95,3,20210420_053
20210420_055,cancer,1.0,96,3,20210420_055
20210420_057,cancer,1.0,97,3,20210420_057
20210420_059,QC,1.0,98,3,20210420_059
20210420_061,cancer,1.0,99,3,20210420_061
20210420_063,cancer,1.0,100,3,20210420_063
20210420_065,healthy,1.0,101,3,20210420_065
20210420_067,healthy,1.0,102,3,20210420_067
20210420_069,SRM,1.0,103,3,20210420_069
20210420_071,QC,1.0,104,3,20210420_071
20210420_073,QC,1.0,105,3,20210420_073
20210420_075,process blank,1.0,106,3,20210420_075
20210420_077,solvent,1.0,107,3,20210420_077
20210421_003,solvent,1.0,109,4,20210421_003
20210421_005,process blank,1.0,110,4,20210421_005
20210421_019,QC,1.0,117,4,20210421_019
20210421_021,QC,1.0,118,4,20210421_021
20210421_023,QC,1.0,119,4,20210421_023
20210421_025,cancer,1.0,120,4,20210421_025
20210421_027,healthy,1.0,121,4,20210421_027
20210421_029,cancer,1.0,122,4,20210421_029
20210421_031,cancer,1.0,123,4,20210421_031
20210421_033,healthy,1.0,124,4,20210421_033
20210421_035,QC,1.0,125,4,20210421_035
20210421_037,post-surgery,1.0,126,4,20210421_037
20210421_039,cancer,1.0,127,4,20210421_039
20210421_041,healthy,1.0,128,4,20210421_041
20210421_043,healthy,1.0,129,4,20210421_043
20210421_045,healthy,1.0,130,4,20210421_045
20210421_047,QC,1.0,131,4,20210421_047
20210421_049,benign,1.0,132,4,20210421_049
